tips,trip_start_timestamp,trip_seconds,trip_miles,pickup_community_area,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_community_area,fare,tolls,extras,trip_total
0,2023-05-31T23:30:00.000,1474,13.4,28,41.874005383,-87.66351755,49,35.5,0,0,35.5
0,2023-05-31T23:30:00.000,1069,7.55,,,,76,22,0,6,28
21.6,2023-05-31T23:30:00.000,2027,27.64,76,41.980264315,-87.913624596,,65.5,0,42,129.6
0,2023-05-31T23:30:00.000,840,0.5,41,41.794090253,-87.592310855,32,24.5,0,0,24.5
3,2023-05-31T23:30:00.000,556,2.14,8,41.899602111,-87.633308037,24,9.25,0,0,12.75
0,2023-05-31T23:30:00.000,97,0.29,6,41.944226601,-87.655998182,6,4,0,0,4
0,2023-05-31T23:30:00.000,515,1.79,6,41.944226601,-87.655998182,3,8.25,0,0,8.25
0,2023-05-31T23:30:00.000,262,0.8,8,41.899602111,-87.633308037,8,5.25,0,0,5.25
0,2023-05-31T23:30:00.000,1511,13.78,,,,,36.75,0,23.5,60.25
0,2023-05-31T23:30:00.000,574,3.15,76,41.97907082,-87.903039661,,11,0,5,16
9.35,2023-05-31T23:30:00.000,1512,17.17,76,41.980264315,-87.913624596,8,42.25,0,4,56.1
0,2023-05-31T23:30:00.000,0,0,3,41.96581197,-87.655878786,3,3.25,0,0,3.25
18,2023-05-31T23:30:00.000,1599,22.66,76,41.97907082,-87.903039661,,82.5,0,7,108
0,2023-05-31T23:30:00.000,410,3.97,76,41.97907082,-87.903039661,76,12.25,0,4,16.25
0.54,2023-05-31T23:30:00.000,283,0,6,41.944226601,-87.655998182,6,9,0,0,9.54
9.6,2023-05-31T23:30:00.000,1255,17.77,76,41.97907082,-87.903039661,8,43.5,0,4,57.6
0,2023-05-31T23:30:00.000,1759,14.72,76,41.980264315,-87.913624596,3,37.5,0,4,41.5
0,2023-05-31T23:30:00.000,780,0.1,24,41.901206994,-87.676355989,8,10.25,0,0,10.25
0,2023-05-31T23:30:00.000,736,1.98,76,41.97907082,-87.903039661,76,9.75,0,10,19.75
0,2023-05-31T23:30:00.000,1136,12.94,32,41.878865584,-87.625192142,,33.25,0,0,33.25
0,2023-05-31T23:30:00.000,1984,28.85,76,41.980264315,-87.913624596,73,81.38,0,0,81.38
6.12,2023-05-31T23:30:00.000,418,2.91,76,41.980264315,-87.913624596,,24,0,0,30.62
0,2023-05-31T23:30:00.000,467,3.36,76,41.97907082,-87.903039661,,11,0,4,15
4,2023-05-31T23:30:00.000,495,1.62,8,41.899602111,-87.633308037,28,7.5,0,1,13
1.62,2023-05-31T23:30:00.000,516,2.08,8,41.899602111,-87.633308037,33,9,0,0,10.62
4,2023-05-31T23:30:00.000,272,0.99,8,41.899602111,-87.633308037,32,5.75,0,0,10.25
0,2023-05-31T23:30:00.000,329,2.82,76,41.97907082,-87.903039661,76,9.5,0,4.5,14
5,2023-05-31T23:30:00.000,2400,8.2,,,,6,48.5,0,4,57.5
8.45,2023-05-31T23:30:00.000,1247,15.21,76,41.980264315,-87.913624596,7,37.75,0,4,50.7
1.1,2023-05-31T23:30:00.000,668,2.16,32,41.878865584,-87.625192142,8,9,0,0,10.1
9.7,2023-05-31T23:30:00.000,1409,17.94,76,41.97907082,-87.903039661,32,44,0,4,58.2
